name	clus_1	clus_2	clus_3	clus_4	memb	i.cluster	subregion
C_367702N1202910W001	0.999508677	5.6177E-06	6.482E-07	0.000485057	1	1	sub11sub12sub13
C_367705N1203029W001	0.957615691	0.009726042	0.003408698	0.029249569	1	1	sub11sub12sub13
C_367730N1203049W001	0.885199508	0.037315078	0.019144609	0.058340804	1	1	sub11sub12sub13
C_367738N1202877W001	0.998568646	3.71212E-05	3.9043E-06	0.001390328	1	1	sub11sub12sub13
C_367755N1202654W001	0.792363859	0.005116848	0.001972892	0.200546402	1	1	sub11sub12sub13
C_367824N1202593W001	0.5403026	0.458025458	0.000532927	0.001139014	1	1	sub11sub12sub13
C_367882N1203566W001	0.921911244	0.05652154	0.001690548	0.019876667	1	1	sub11sub12sub13
C_367882N1203579W001	0.958003128	0.037315637	0.000541324	0.004139911	1	1	sub11sub12sub13
C_367985N1203102W001	0.349534688	0.636540146	0.003185576	0.010739589	2	2	sub11sub12sub13
C_368068N1202368W001	0.979284631	0.014174012	0.002652991	0.003888367	1	1	sub11sub12sub13
C_368205N1201513W001	0.752481194	0.114217808	0.044989279	0.088311719	1	1	sub11sub12sub13
C_368232N1201421W001	0.953738604	0.040747539	0.001119152	0.004394705	1	1	sub11sub12sub13
C_368291N1203016W001	0.068672262	0.912648107	0.01581379	0.002865842	2	2	sub11sub12sub13
C_368293N1200474W001	0.000869206	0.937996597	0.026173473	0.034960725	2	2	sub11sub12sub13
C_368299N1200388W001	1.25189E-05	0.933392812	0.063576448	0.003018222	2	2	sub11sub12sub13
C_368310N1200974W001	4.0552E-06	0.980080346	0.019517617	0.000397982	2	2	sub11sub12sub13
C_368332N1200546W001	0.003285573	0.971032087	0.005338856	0.020343484	2	2	sub11sub12sub13
C_368341N1200113W001	0.949413066	0.000874203	1.51746E-05	0.049697556	1	1	sub11sub12sub13
C_368368N1203291W001	0.118330944	0.863356574	0.013010604	0.005301879	2	2	sub11sub12sub13
C_368371N1200785W001	6.26E-08	0.999426951	0.00057261	3.765E-07	2	2	sub11sub12sub13
C_368427N1200377W001	0.006480135	0.987986773	0.005388586	0.000144506	2	2	sub11sub12sub13
C_368438N1202621W001	0.000527555	0.714750092	0.284151737	0.000570616	2	2	sub11sub12sub13
C_368652N1198671W001	0.686773038	0.049862207	0.049959539	0.213405217	1	1	sub11sub12sub13
C_368680N1201377W001	0.002311523	0.981940993	0.013982619	0.001764866	2	2	sub11sub12sub13
C_368732N1200099W001	1.9443E-06	0.999609052	0.000378271	1.07332E-05	2	2	sub11sub12sub13
C_368743N1204360W001	2.43828E-05	0.900895462	0.094905624	0.004174532	2	2	sub11sub12sub13
C_368788N1198977W001	1.833E-07	0.004902436	0.995096194	1.1872E-06	3	3	sub11sub12sub13
C_368788N1199121W001	0.000000073	0.905754539	0.094243311	2.0776E-06	2	2	sub11sub12sub13
C_368799N1198646W001	0.534360699	0.116029488	0.139183148	0.210426665	1	1	sub11sub12sub13
C_368799N1202216W001	4.712E-07	0.999392381	0.000606773	3.743E-07	2	2	sub11sub12sub13
C_368805N1198346W001	0.515779694	0.070025897	0.075340146	0.338854263	1	1	sub11sub12sub13
C_368838N1202732W001	0.028136224	0.896886649	0.043572731	0.031404396	2	2	sub11sub12sub13
C_368874N1200604W001	3E-10	0.99670149	0.003298508	1.9E-09	2	2	sub11sub12sub13
C_368899N1198079W001	0.409599906	0.052462537	0.241745668	0.296191889	1	1	sub11sub12sub13
C_368935N1198035W001	2.77129E-05	0.000333005	0.999496935	0.000142347	3	3	sub11sub12sub13
C_368946N1198296W001	0.568708843	0.023953507	0.028646312	0.378691338	1	1	sub11sub12sub13
C_368946N1201107W001	1.7E-09	0.990949333	0.009050595	7.05E-08	2	2	sub11sub12sub13
C_368960N1199629W001	7E-10	0.000202188	0.999797746	6.49E-08	3	3	sub11sub12sub13
C_368977N1202735W001	7.51E-08	0.000445033	0.999542619	1.22736E-05	3	3	sub11sub12sub13
C_368980N1200107W001	0	0.996900252	0.003099748	6E-10	2	2	sub11sub12sub13
C_368980N1202918W001	0.969231873	0.014980286	0.002725279	0.013062563	1	1	sub11sub12sub13
C_369063N1200888W001	1E-10	0.999989277	1.07229E-05	1E-10	2	2	sub11sub12sub13
C_369082N1198641W001	0.930012826	0.007545771	0.014773074	0.047668329	1	1	sub11sub12sub13
C_369118N1202763W001	0.197596998	0.667604023	0.057785702	0.077013277	2	2	sub11sub12sub13
C_369232N1201477W001	2E-10	0.965848497	0.034151489	1.35E-08	2	2	sub11sub12sub13
C_369257N1203046W001	0.01585796	0.766948106	0.208494044	0.00869989	2	2	sub11sub12sub13
C_369260N1199141W001	0.000000062	0.000158296	0.999841587	0.000000055	3	3	sub11sub12sub13
C_369271N1201718W001	1.86532E-05	0.923287998	0.076669026	0.000024323	2	2	sub11sub12sub13
C_369271N1204491W001	0.087991578	0.676652293	0.108440917	0.126915212	2	2	sub11sub12sub13
C_369277N1201654W001	2.3252E-06	0.040713506	0.959281648	2.5213E-06	3	3	sub11sub12sub13
C_369305N1203638W001	0.000512125	0.071139752	0.923406301	0.004941823	3	3	sub11sub12sub13
C_369307N1201835W001	2.62789E-05	0.815551177	0.184396043	2.65012E-05	2	2	sub11sub12sub13
C_369341N1201107W001	1E-10	0.080367954	0.919632044	2.1E-09	3	3	sub11sub12sub13
C_369343N1202196W001	7.74922E-05	0.696737175	0.30303359	0.000151742	2	2	sub11sub12sub13
C_369374N1199896W001	7.28E-08	0.002512851	0.997487052	2.44E-08	3	3	sub11sub12sub13
C_369380N1200377W001	0.000490079	0.017474546	0.981919509	0.000115866	3	3	sub11sub12sub13
C_369382N1202918W001	1.43079E-05	0.000196882	0.999306558	0.000482252	3	3	sub11sub12sub13
C_369513N1201107W001	0	5.269E-07	0.999999473	0	3	3	sub11sub12sub13
C_369516N1202746W001	5.782E-07	0.003863852	0.996112787	2.27837E-05	3	3	sub11sub12sub13
C_369521N1203643W001	6.89742E-05	0.983972123	0.015944927	1.39753E-05	2	2	sub11sub12sub13
C_369582N1202110W001	5.2227E-06	0.018390419	0.981552935	5.14238E-05	3	3	sub11sub12sub13
C_369599N1201793W001	0	0.000201206	0.999798794	3E-10	3	3	sub11sub12sub13
C_369705N1203829W001	1.39126E-05	0.999847755	7.96613E-05	5.86714E-05	2	2	sub11sub12sub13
C_369707N1201843W001	0	3.0445E-06	0.999996955	7E-10	3	3	sub11sub12sub13
C_369730N1202149W001	4.37E-08	0.19984221	0.800157428	3.192E-07	3	3	sub11sub12sub13
C_369746N1201124W001	4E-10	3.954E-07	0.999999604	5E-10	3	3	sub11sub12sub13
C_369810N1204413W001	0.993784952	0.003141107	0.000529335	0.002544606	1	1	sub11sub12sub13
C_369816N1202527W001	0.000007986	0.01582341	0.984003913	0.000164691	3	3	sub11sub12sub13
C_369818N1204554W001	0.999945239	5.03185E-05	1.0266E-06	3.4163E-06	1	1	sub11sub12sub13
C_369832N1202202W001	8E-10	0.00979329	0.990206705	3.9E-09	3	3	sub11sub12sub13
C_369877N1203113W001	0.975206039	0.00026725	0.000010197	0.024516514	1	1	sub11sub12sub13
C_369949N1204377W001	0.050951727	0.945488655	0.003137906	0.000421713	2	2	sub11sub12sub13
C_369952N1203377W001	5.942E-07	0.057434764	0.94256186	2.7819E-06	3	3	sub11sub12sub13
C_370035N1202746W001	0.000000003	0.060575524	0.939424207	2.658E-07	3	3	sub11sub12sub13
C_370082N1202141W001	1.2E-09	2.95663E-05	0.999970391	0.000000041	3	3	sub11sub12sub13
C_370105N1201602W001	0	2.713E-07	0.999999729	0	3	3	sub11sub12sub13
C_370107N1202027W001	1E-10	6.8464E-06	0.99999314	1.31E-08	3	3	sub11sub12sub13
C_370168N1203593W001	1.296E-07	0.511875953	0.488120372	3.5456E-06	2	2	sub11sub12sub13
C_370174N1203593W001	6.08265E-05	0.995653083	0.004255302	3.07893E-05	2	2	sub11sub12sub13
C_370180N1202571W001	1.334E-07	0.514005789	0.485993407	6.702E-07	2	2	sub11sub12sub13
C_370191N1202043W001	0	0.000402191	0.999597809	1E-10	3	3	sub11sub12sub13
C_370241N1202529W001	0.000001859	0.951006951	0.048987768	3.4213E-06	2	2	sub11sub12sub13
C_370252N1199857W001	4.351E-07	0.023079882	0.976919536	1.464E-07	3	3	sub11sub12sub13
C_370252N1200929W001	0	2.427E-07	0.999999757	1E-10	3	3	sub11sub12sub13
C_370252N1201810W001	2.21006E-05	0.000982916	0.998989371	5.6127E-06	3	3	sub11sub12sub13
C_370252N1202971W001	2.7601E-06	0.992734135	0.007234808	2.82967E-05	2	2	sub11sub12sub13
C_370252N1203752W001	3.967E-07	0.970274107	0.02972524	2.564E-07	2	2	sub11sub12sub13
C_370255N1203107W001	4.51E-08	0.046646544	0.953352151	1.2604E-06	3	3	sub11sub12sub13
C_370268N1201710W001	3.8186E-06	0.000415542	0.999579961	6.776E-07	3	3	sub11sub12sub13
C_370366N1201760W001	1.6E-09	0.000113257	0.999886734	7.3E-09	3	3	sub11sub12sub13
